,Условное обозначение Ziehl-Abegg,Каталожный номер,specific products,Типоразмер,Расход воздуха,Статическое давление,"Давление, динамическое",Суммарное давление,Класс SFP,Значение SFP,"Электрическая мощность, потребляемая системой",Суммарный КПД системы,"КПД системы, статич.",Потребляемая электрическая мощность,Суммарный КПД,"КПД системы, статич.1",Мощность на валу,"Мощность на валу, макс.",Суммарный КПД рабочего колеса,"КПД рабочего колеса, статич.",Частота вращения вентилятора,"Уровень звуковой мощности на стороне всасывания, ненормированный","Уровень звуковой мощности на стороне всасывания, характеристика А","Уровень звуковой мощности на стороне нагнетания, ненормированный","Уровень звуковой мощности на стороне нагнетания, характеристика А",частоты октавной полосы,"Уровень звуковой мощности на стороне всасывания, ненормированный1","Уровень звуковой мощности на стороне всасывания, характеристика А1","Уровень звуковой мощности на стороне нагнетания, ненормированный1","Уровень звуковой мощности на стороне нагнетания, характеристика А1",Частота в рабочей точке,Напряжение в рабочей точке,Ток в рабочей точке,Коэфф. k для давления в сопле,Дифф. давление в сопле,Расход воздуха при питании от сети,Статическое давление при питании от сети,Суммарное давление при питании от сети,Плотность перемещаемой среды,Тип электропривода,Напряжение сети,Схема соединений,Номинальная частота,Потребляемая электрическая мощность1,Выходная мощность,Номинальный ток,Номинальная частота вращения,Макс. допустимая температура перемещаемой среды,КПД,производительность,производительность1,Степень защиты,Класс нагревостойкости изоляции,"Частота, макс.",Сеть электропитания,Ширина,Высота,Глубина,Масса изделия,защитная решетка и ее влияние включены,Группа продукции,корпус/рабочее колесо,Кол-во вентиляторов,Тип двигателя,Установленная мощность
0,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,2800,1819,16,1835,6,3116,2424,58.9,58.4,,,,,,,,3852,96,86,100,94,"63,125,250,500,1000,2000,4000,8000","92.94,81.15,91.42,83.23,76.36,74.02,72.15,67.34","63.86,65.43,83.55,79.98,76.23,75.20,73.17,66.34","95.31,83.19,97.02,87.86,86.19,84.97,81.22,75.99","66.22,67.75,89.59,84.79,86.14,86.14,82.23,75.03",50,400,3.72,106,698,2921,1979,1997,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
1,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,11000,900,60,960,4,1466,4481,65.5,61.4,,,,,,,,2598,91,85,97,93,"63,125,250,500,1000,2000,4000,8000","85.18,83.11,85.72,83.46,75.88,74.60,73.02,80.94","60.05,67.02,76.67,79.57,75.68,75.73,73.87,78.92","85.10,85.84,91.77,89.83,86.59,86.50,83.07,84.00","59.80,70.49,82.20,86.70,86.43,87.66,84.02,82.22",50,400,6.83,220,2500,11111,918,980,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
2,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,3000,1200,19,1219,4,1860,1550,65.5,64.5,,,,,,,,3233,84,78,91,86,"63,125,250,500,1000,2000,4000,8000","72.02,64.07,82.34,74.17,69.22,68.07,65.54,60.67","43.84,48.19,73.50,70.94,69.19,69.25,66.57,59.58","76.86,70.86,90.01,79.35,79.95,79.65,74.82,70.60","48.78,55.42,81.26,76.39,79.94,80.81,75.83,69.57",50,400,2.43,106,801,3727,1852,1881,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
3,GR45IZID.DG.CR,116901/A01,Portfolio STDWW G1,450,8000,300,32,332,2,551,1223,60.4,54.5,,,,,,,,1731,83,76,87,82,"63,125,250,500,1000,2000,4000,8000","77.63,79.08,76.15,73.47,66.49,65.02,66.92,67.52","52.25,63.12,68.28,69.71,66.31,66.19,67.76,67.18","77.26,83.91,79.13,79.69,76.30,71.49,70.76,71.43","51.77,68.86,70.79,76.66,76.01,72.63,71.62,71.05",50,400,1.95,220,1322,9448,418,464,1.16,3,400,,50,2.4,,,2050,40,"75,1","81,5",62,55,155,,3~ 400V 50Hz ,600,600,440,31,Нет,ZAbluefin,0.0,1,EC,2.4
4,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,9000,1200,40,1240,4,1747,4367,71.0,68.7,,,,,,,,2509,86,81,94,91,"63,125,250,500,1000,2000,4000,8000","79.92,74.77,81.63,79.54,73.20,72.14,69.30,70.93","53.65,58.75,72.25,75.79,73.05,73.29,70.24,69.50","81.78,80.57,90.69,86.24,83.77,85.02,81.47,77.60","56.13,65.39,80.66,83.15,83.68,86.18,82.45,76.48",50,400,6.66,220,1674,9407,1311,1355,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
5,GR35IZID.DG.CR,116893/A01,Portfolio STDWW G1,355,5000,1200,32,1232,4,1750,2430,70.4,68.6,,,,,,,,3070,83,77,89,85,"63,125,250,500,1000,2000,4000,8000","76.57,69.00,79.33,74.73,71.19,67.81,64.87,63.34","48.33,52.60,70.80,71.56,70.97,68.97,65.85,62.02","78.98,73.55,85.09,79.98,80.76,78.36,73.91,70.46","51.02,58.07,76.44,77.11,80.66,79.50,74.91,69.31",50,400,3.74,140,1276,5552,1480,1519,1.16,3,400,,50,3.3,,,3410,50,"74,0","79,0",62,55,155,,3~ 400V 50Hz ,500,500,422,25,Нет,ZAbluefin,0.0,1,EC,3.3
6,GR40CZID.GG.CR,179087/A01,Portfolio STDWW G1,400,6000,1800,70,1870,6,3024,5040,61.8,59.5,,,,,,,,3132,90,87,97,96,"63,125,250,500,1000,2000,4000,8000","79.93,76.30,82.34,85.69,80.22,78.80,75.96,75.18","53.33,60.29,75.04,81.59,80.12,79.99,76.94,74.21","81.34,79.87,86.67,88.69,89.19,92.08,88.67,82.07","54.44,64.38,78.99,84.88,89.12,93.31,89.69,81.27",50,400,7.66,154,1518,6081,1849,1921,1.16,3,400,,50,5.6,,,3170,40,"61,8","64,4",62,54,155,,3~ 400V 50Hz ,550,550,381,39,Нет,Cpro,0.0,1,EC,5.6
7,ER71I4DN.I7.1R,115958/0Z01,Portfolio STDWW G1,710,18860,1300,51,1351,4,1856,9724,72.8,70.0,9433.0,75.1,72.2,8668.0,8689.0,81.7,78.6,1554,86,82,91,88,"63,125,250,500,1000,2000,4000,8000","75.94,82.54,78.23,76.02,77.14,75.44,71.97,69.31","47.26,66.61,69.52,72.96,77.02,76.60,72.95,68.16","78.82,85.43,82.79,85.25,82.29,81.06,76.46,72.31","51.77,69.47,74.65,82.04,82.18,82.22,77.49,71.35",53,400,17.33,530,1266,17800,1158,1204,1.16,3,400,D,50,,11.0,21.35,1465,40,"72,9","72,9",62,55,155,57.0,3~ 400V 50Hz D,1023,960,1045,226,Нет,ZAbluefin,0.0,1,AC,11.0
8,GR25I6ID.BD.CR,116882/A01,Portfolio STDWW G1,250,1000,300,5,305,2,534,148,57.2,56.2,,,,,,,,2061,65,59,71,67,"63,125,250,500,1000,2000,4000,8000","50.91,62.76,53.86,55.83,53.86,49.89,45.62,41.43","24.64,48.71,45.60,53.26,53.59,51.02,46.59,40.73","52.22,67.76,59.76,61.30,64.02,58.67,53.03,47.97","26.22,54.03,50.84,58.81,63.89,59.79,54.02,47.18",50,230,0.67,67,223,1539,710,723,1.16,1,230,,50,0.5,,,3170,55,"73,6","87,3",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.5
9,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,12000,600,72,672,3,1171,3903,57.4,51.2,,,,,,,,2579,93,88,98,95,"63,125,250,500,1000,2000,4000,8000","84.36,84.68,87.34,85.76,78.09,76.29,74.83,84.56","58.99,69.04,78.81,81.88,77.90,77.43,75.65,82.55","84.79,87.15,92.82,91.74,88.95,87.28,83.85,87.47","59.37,72.19,83.44,88.69,88.72,88.43,84.80,85.53",50,400,5.96,220,2975,12192,619,694,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
